,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA20&TEMA60^KAMA10&EMA60,EMA20&TEMA60^DEMA60&MA60,EMA20&TEMA60^DEMA60&SMA60,WMA20&TEMA60^DEMA60&EMA60,KAMA60&MA60^KAMA5&EMA60,KAMA60&MA60^EMA10&DEMA20,KAMA60&MA60^TRIMA60&WMA60,KAMA60&SMA60^EMA10&DEMA20,KAMA60&SMA60^TRIMA60&WMA60,KAMA60&TRIMA60^KAMA5&EMA60
188,2022-04-06,578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2022-04-07,566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2022-04-08,567.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
191,2022-01-11,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2022-04-11,558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2022-04-12,557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2022-04-13,573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2022-04-14,573.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2022-04-15,562.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
197,2022-04-18,561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2022-04-19,565.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
199,2022-04-20,570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2022-04-21,565.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
201,2022-04-22,558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2022-01-12,660.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2022-04-25,547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2022-04-26,546.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
205,2022-04-27,526.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
206,2022-04-28,531.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
207,2022-04-29,538.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2022-05-03,531.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2022-05-04,534.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
210,2022-05-05,542.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
211,2022-05-06,528.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
212,2022-05-09,520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2022-01-13,661.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
214,2022-05-10,518.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2022-05-11,521.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
216,2022-05-12,505.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
217,2022-05-13,511.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2022-05-16,520.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
219,2022-05-17,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2022-05-18,538.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2022-05-19,522.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
222,2022-05-20,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2022-05-23,528.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
224,2022-01-14,672.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2022-05-24,520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2022-05-25,524.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
227,2022-05-26,514.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
228,2022-05-27,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2022-05-30,547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2022-05-31,560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2022-06-01,549.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
232,2022-06-02,540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2022-06-06,540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2022-06-07,535.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
