,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,KAMA10&MA60^DEMA60&TEMA60,KAMA10&SMA60^DEMA60&TEMA60,EMA20&DEMA60^KAMA10&EMA60,EMA20&DEMA60^DEMA20&EMA60,EMA20&DEMA60^EMA20&MA60,EMA20&DEMA60^TRIMA20&MA60,EMA20&DEMA60^TRIMA20&SMA60,EMA20&DEMA60^WMA20&EMA60,EMA20&DEMA60^WMA20&MA60,EMA20&DEMA60^WMA20&SMA60
188,2022-04-07,22.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2022-04-08,21.8500003815,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
190,2022-01-11,20.7000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2022-04-11,20.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2022-04-12,21.1000003815,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
193,2022-04-13,21.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2022-04-14,21.1000003815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2022-04-15,20.25,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
196,2022-04-18,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2022-04-19,20.2000007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
198,2022-04-20,20.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2022-04-21,20.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2022-04-22,20.3999996185,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
201,2022-01-12,20.8500003815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2022-04-25,18.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2022-04-26,18.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2022-04-27,18.1000003815,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
205,2022-04-28,18.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2022-04-29,18.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2022-05-03,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2022-05-04,18.6000003815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2022-05-05,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2022-05-06,19.1000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2022-05-09,18.7000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
212,2022-01-13,20.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
213,2022-05-10,19.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2022-05-11,18.9500007629,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
215,2022-05-12,18.4500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
216,2022-05-13,18.6000003815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2022-05-16,18.2999992371,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
218,2022-05-17,19.4500007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2022-05-18,19.5499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2022-05-19,19.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
221,2022-05-20,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2022-05-23,19.9500007629,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
223,2022-01-14,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2022-05-24,19.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2022-05-25,20.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
226,2022-05-26,19.9500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2022-05-27,19.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2022-05-30,19.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2022-05-31,19.8500003815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2022-06-01,19.7999992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
231,2022-06-02,19.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2022-06-06,19.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2022-06-07,19.8999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
