Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
514.0,2012-10-22,MA10&MA15^MA5&MA30,1.0,14.557636261,27500.000000000004,,,,,,,,,
515.0,2012-10-24,MA10&MA15^MA5&MA30,-1.0,14.3272943497,27500.000000000004,-435.0,-0.0158181818181818,,,,,,,
313.0,2012-10-24,MA5&MA15^MA5&MA15,-1.0,14.3272943497,14000.000000000002,-264.0,-0.0188571428571428,,,,,,,
238.0,2012-11-02,MA5&MA10^MA5&MA15,1.0,14.8340473175,18000.0,,,,,,,,,
239.0,2012-11-05,MA5&MA10^MA5&MA15,-1.0,15.2025947571,18000.0,447.0,0.0248333333333333,,,,,,,
314.0,2012-11-05,MA5&MA15^MA5&MA15,1.0,15.2025947571,14000.000000000002,,,,,,,,,
276.0,2012-11-05,MA5&MA15^STOCH,1.0,15.2025947571,12000.0,,,,,,,,,
315.0,2012-11-06,MA5&MA15^MA5&MA15,-1.0,15.0183210373,14000.000000000002,-169.0,-0.0120714285714285,,,,,,,
277.0,2012-11-06,MA5&MA15^STOCH,-1.0,15.0183210373,12000.0,-145.0,-0.0120833333333333,,,,,,,
516.0,2012-11-08,MA10&MA15^MA5&MA30,1.0,15.0183210373,27500.000000000004,,,,,,,,,
517.0,2012-11-12,MA10&MA15^MA5&MA30,-1.0,14.8340473175,27500.000000000004,-337.0,-0.0122545454545454,,,,,,,
240.0,2012-11-23,MA5&MA10^MA5&MA15,1.0,14.7419099808,18000.0,,,,,,,,,
241.0,2012-11-26,MA5&MA10^MA5&MA15,-1.0,15.5250740051,18000.0,956.0,0.0531111111111111,,,,,,,
316.0,2012-11-27,MA5&MA15^MA5&MA15,1.0,15.2947320938,14000.000000000002,,,,,,,,,
278.0,2012-11-27,MA5&MA15^STOCH,1.0,15.2947320938,12000.0,,,,,,,,,
518.0,2012-11-28,MA10&MA15^MA5&MA30,1.0,15.1565256119,27500.000000000004,,,,,,,,,
279.0,2012-11-29,MA5&MA15^STOCH,-1.0,15.4329366684,12000.0,108.0,0.009,,,,,,,
519.0,2012-11-29,MA10&MA15^MA5&MA30,-1.0,15.4329366684,27500.000000000004,501.0,0.0182181818181818,,,,,,,
317.0,2012-11-30,MA5&MA15^MA5&MA15,-1.0,15.7554159164,14000.000000000002,421.0,0.0300714285714285,,,,,,,
,,,,,,,,,,,,100000.0,5769.0,576900000.0
